"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.category.label","Approve","Reject"
"3P0I4CQYWHGNXOF28KQ2SYQ9Y4IOW2","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:18 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:18 PDT 2024","","","3Z2R0DQ0J1NIV120QO30OZCXQOA2EW","A30W8M1QL8LOON","Submitted","Wed May 22 07:34:21 PDT 2024","Wed May 22 07:36:07 PDT 2024","Thu May 23 07:36:07 PDT 2024","","","","106","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000469.png","3"
"3P0I4CQYWHGNXOF28KQ2SYQ9Y4IOW2","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:18 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:18 PDT 2024","","","3483FV8BEYSEIM9LK6K2CBKK9QO62H","A2OWC6QTMTLFWW","Submitted","Wed May 22 07:36:35 PDT 2024","Wed May 22 07:36:46 PDT 2024","Thu May 23 07:36:46 PDT 2024","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000469.png","yes"
"3P0I4CQYWHGNXOF28KQ2SYQ9Y4IOW2","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:18 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:18 PDT 2024","","","3YGXWBAF7KQD1HX9YBGTRQ9SPQT4C1","A1BLDWE3JYO1O","Submitted","Wed May 22 07:34:25 PDT 2024","Wed May 22 07:39:13 PDT 2024","Thu May 23 07:39:13 PDT 2024","","","","288","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000469.png","4"
"3P0I4CQYWHGNXOF28KQ2SYQ9Y4IOW2","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:18 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:18 PDT 2024","","","3VD82FOHKAXH5A7RHVV25OFX6HTCOJ","A3IMRI3BN6HDR9","Submitted","Wed May 22 07:45:11 PDT 2024","Wed May 22 07:49:22 PDT 2024","Thu May 23 07:49:22 PDT 2024","","","","251","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000469.png","5"
"3OWZNK3RZ4YWYD1SQMD43X29CJBU23","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:26 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:26 PDT 2024","","","3ZSANO2JCZG36EJUFE2CXZA10JQFSW","AML0BO8KH10N2","Submitted","Wed May 22 07:37:43 PDT 2024","Wed May 22 07:37:52 PDT 2024","Thu May 23 07:37:52 PDT 2024","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000077.png","no"
"3OWZNK3RZ4YWYD1SQMD43X29CJBU23","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:26 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:26 PDT 2024","","","3ZAZR5XV0LRT4ELYJ46JLMM1QLYCZN","A19SL546N0CE9Z","Submitted","Wed May 22 07:37:34 PDT 2024","Wed May 22 07:37:54 PDT 2024","Thu May 23 07:37:54 PDT 2024","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000077.png","blue"
"3OWZNK3RZ4YWYD1SQMD43X29CJBU23","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:26 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:26 PDT 2024","","","39PAAFCOD69THBIZ4TC6PQ99QWRTVM","A345TDMHP3DQ3G","Submitted","Wed May 22 07:36:55 PDT 2024","Wed May 22 07:37:54 PDT 2024","Thu May 23 07:37:54 PDT 2024","","","","59","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000077.png","blue"
"3OWZNK3RZ4YWYD1SQMD43X29CJBU23","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:26 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:26 PDT 2024","","","3SLE99ER07MAU9TS54AOA2GJ80WZB1","A3AFX2N59UHC3Z","Submitted","Wed May 22 07:35:44 PDT 2024","Wed May 22 07:40:28 PDT 2024","Thu May 23 07:40:28 PDT 2024","","","","284","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000077.png","4"
"3AJA9FLWTV7BQGI4K03X4D8NRSTFI0","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:28 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:28 PDT 2024","","","3EKVH9QMEIDD3VO0UTSGIHUCQC9D2E","A37Y0ZB2TBZLFD","Submitted","Wed May 22 07:34:46 PDT 2024","Wed May 22 07:35:16 PDT 2024","Thu May 23 07:35:16 PDT 2024","","","","30","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000294.png","purple"
"3AJA9FLWTV7BQGI4K03X4D8NRSTFI0","3D4BPCICW3BRNY005L1QUQAMOLU8VW","Visual Question Answering","You will be given a image and a sentence. Choose the answer that matches the senstece best","categorize, image","$0.05","Wed May 22 07:34:28 PDT 2024","5","BatchId:5225007;OriginalHitTemplateId:928390873;","600","86400","Wed May 29 07:34:28 PDT 2024","","","338JKRMM2Q8JKEO6T44LFKS8USWHA0","A2W0LNNUHHVIG2","Submitted","Wed May 22 07:37:18 PDT 2024","Wed May 22 07:38:10 PDT 2024","Thu May 23 07:38:10 PDT 2024","","","","52","0% (0/0)","0% (0/0)","0% (0/0)","CLEVR_new_000294.png","no"
